scope_key,http_method,endpoint_path,operation_title,doc_url
mall.read_store,GET,/api/v2/admin/products/setting,Retrieve product settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/redirects,Retrieve a list of redirects,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,POST,/api/v2/admin/redirects,Create a redirect,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/redirects/{id},Update a redirect,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,DELETE,/api/v2/admin/redirects/{id},Delete a redirect,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/restocknotification/setting,Retrieve restocknotification settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/restocknotification/setting,Updated restocknotification settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/seo/setting,Retrieve SEO settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/seo/setting,Update store SEO settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/shippingmanager,Retrieve activation information for Shipping Manager,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/shops,Retrieve a list of shops,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/shops/{shop_no},Retrieve a shop,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/sms/setting,Retrieve SMS settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/sms/setting,Update SMS settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/socials/apple,Apple login sync details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/socials/apple,Apple login sync settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/socials/kakaosync,Kakao Sync details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/socials/kakaosync,Kakao Sync updates,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/socials/naverlogin,Naver login details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/socials/naverlogin,Update Naver login settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/socials/navershopping,NAVER Shopping settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/store,Retrieve store details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/store/accounts,Retrieve a list of store bank accounts,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/store/dropshipping,Retrieve dropshipping settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/store/dropshipping,Manage dropshipping settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/subscription/shipments/setting,Retrieve a list of subscription products,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,POST,/api/v2/admin/subscription/shipments/setting,Create a subscription payment rule,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/subscription/shipments/setting/{subscription_no},Update subscription products,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,DELETE,/api/v2/admin/subscription/shipments/setting/{subscription_no},Delete subscription products,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/taxmanager,Retrieve activation information for Tax Manager,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/users,Retrieve a list of admin users,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/users/{user_id},Retrieve admin user details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/bundleproducts,Retrieve a list of bundles,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/bundleproducts/{product_no},Retrieve a bundle,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/bundleproducts,Create a bundle,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/bundleproducts/{product_no},Update a bundle,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/bundleproducts/{product_no},Delete a bundle,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/categories/{category_no}/products,Retrieve a list of products by category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/categories/{category_no}/products/count,Retrieve a count of products by category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/categories/{category_no}/products,Add products to a category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/categories/{category_no}/products,Update a product in product category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/categories/{category_no}/products/{product_no},Delete a product by category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/categories/properties,Retrieve fields for products in the list,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/categories/properties,Create a field for product list page,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/categories/properties,Update fields for products in the list,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/mains/{display_group}/products,Retrieve a list of products in main category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/mains/{display_group}/products/count,Retrieve a count of products in main category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/mains/{display_group}/products,Set main category products,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/mains/{display_group}/products,Update fixed sorting of products in main category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/mains/{display_group}/products/{product_no},Delete a product in main category,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/mains/properties,Retrieve fields for products on the main screen,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/mains/properties,Create a field for home page,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/mains/properties,Update fields for products on the main screen,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products,Retrieve a list of products,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/count,Retrieve a count of products,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no},Retrieve a product resource,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products,Create a product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no},Update a product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no},Delete a product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/additionalimages,Create an additional product image,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/additionalimages,Update an additional product image,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/additionalimages,Delete an additional product image,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/approve,Retrieve a product approval status,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
